,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Samsung Galaxy S,2310,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,198,Single,AMOLED,6.7,1440,3040,Android 9.0,Exynos,Octa,Mali-G76,No,"256/512 GB, 8 GB RAM",Yes,Type-C,4500
1,Samsung Galaxy S,2310,Yes,157.6,74.1,7.8,175,Single,AMOLED,6.4,1440,3040,Android 9.0,Exynos,Octa,Mali-G76,512 GB,"1 TB, 12 GB RAM, 128/512 GB, 8 GB RAM",Yes,Type-C,4100
2,Samsung Galaxy S,2310,Yes,149.9,70.4,7.8,157,Single,AMOLED,6.1,1440,3040,Android 9.0,Exynos,Octa,Mali-G76,512 GB,"128/512 GB, 8 GB RAM",Yes,Type-C,3400
3,Samsung Galaxy S,2310,Yes,142.2,69.9,7.9,150,Single,AMOLED,5.8,1080,2280,Android 9.0,Exynos,Octa,Mali-G76,512 GB,"256 GB, 8 GB RAM or 128 GB, 6 GB RAM",Yes,Type-C,3100
4,Samsung Galaxy Fold,385,Yes,-,-,-,-,Single,AMOLED,7.3,1536,2152,Android 9.0,Qualcomm,Octa,Adreno,No,"512 GB, 12 GB RAM",Yes,Type-C,4380
5,Samsung Galaxy Watch Active,0,No,39.5,39.5,10.5,25,No,AMOLED,1.1,360,360,Tizen,Exynos,Dual,-,No,"4 GB, 768 MB RAM",Yes,No,230
6,Samsung Galaxy M,385,Yes,159,75.1,8.4,-,Dual,AMOLED,6.4,1080,2340,Android 8.1,Exynos,Octa,Mali-G71,512 GB,"128 GB, 6 GB RAM or 64 GB, 4 GB RAM",Yes,Type-C,5000
7,Samsung Galaxy M,385,Yes,156.4,74.5,8.8,186,Dual,TFT,6.3,1080,2340,Android 8.1,Exynos,Octa,Mali-G71,512 GB,"64 GB, 4 GB RAM or 32 GB, 3 GB RAM",Yes,Type-C,5000
8,Samsung Galaxy M,385,Yes,155.6,75.6,7.7,163,Dual,TFT,6.22,720,1520,Android 8.1,Exynos,Octa,Mali-T830,512 GB,"32 GB, 3 GB RAM or 16 GB, 2 GB RAM",Yes,microUSB 2.0,3400
9,Samsung Galaxy A,385,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,-,Single,AMOLED,6.7,1080,2400,Android 9.0,-,Octa,-,512 GB,"128 GB, 6/8 GB RAM",Yes,Type-C,4500
10,Samsung Galaxy A,385,Yes,158.5,74.7,7.7,166,Single,AMOLED,6.4,1080,2340,Android 9.0,Exynos,Octa,Mali-G72,512 GB,"64/128 GB, 4/6 GB RAM",Yes,Type-C,4000
11,Samsung Galaxy A,385,Yes,144.3,69.1,7.9,-,Single,AMOLED,5.9,1080,2340,Android 9.0,Exynos,Octa,Mali-G71,512 GB,"64 GB, 4 GB RAM",Yes,Type-C,3100
12,Samsung Galaxy A,385,Yes,158.5,74.7,7.7,165,Single,AMOLED,6.4,1080,2340,Android 9.0,Exynos,Octa,Mali-G71,512 GB,"64 GB, 4 GB RAM or 32 GB, 3 GB RAM",Yes,Type-C,4000
13,Samsung Galaxy A,385,Yes,-,-,-,-,Single,AMOLED,6.4,720,1560,Android 9.0,Exynos,Octa,-,512 GB,"32 GB, 3 GB RAM",Yes,microUSB 2.0,4000
14,Samsung Galaxy A,385,Yes,155.6,75.6,7.9,168,Single,LCD,6.2,720,1520,Android 9.0,Exynos,Octa,Mali-G71,512 GB,"32 GB, 2 GB RAM",Yes,microUSB 2.0,3400
15,Samsung Galaxy Tab S5e,385,Yes,245,160,5.5,400,Single,AMOLED,10.5,1600,2560,Android 9.0,Qualcomm,Octa,Adreno,512 GB,"128 GB, 6 GB RAM or 64 GB, 4 GB RAM",Yes,Type-C,7040
16,Samsung Galaxy Tab A 10.1 (2019),385,Yes,245,149,7.5,460,Single,LCD,10.1,1200,1920,Android 9.0,Exynos,Octa,Mali-G71,512 GB,"32 GB, 2 GB RAM",Yes,Type-C,6150
17,Samsung Galaxy Tab A 8 (2019),385,Yes,201.5,122.4,8.9,325,Single,LCD,8.0,1200,1920,Android 9.0,Exynos,Octa,Mali-G71,512 GB,"32 GB, 3 GB RAM",Yes,Type-C,4200
18,Samsung Galaxy Tab Advanced2,0,No,250.4,166.2,8.5,525,No,LCD,10.1,1200,1920,Android 8.0,Exynos,Octa,Mali-T830,400 GB,"32 GB, 3 GB RAM",Yes,Yes,7300
19,Samsung Galaxy A,385,Yes,158.4,74.9,7.4,173,Single,LCD,6.4,1080,2340,Android 9.0,Qualcomm,Octa,Adreno,512 GB,"128 GB, 6/8 GB RAM",Yes,Type-C,3400
20,Samsung Galaxy A,385,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,-,Dual,AMOLED,6.0,1080,2160,Android 8.0,Qualcomm,Octa,Adreno,512 GB,"64/128 GB, 6 GB RAM",Yes,Type-C,3300
21,Samsung Galaxy A,385,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,183,Dual,AMOLED,6.3,1080,2220,Android 8.0,Qualcomm,Octa,Adreno,512 GB,"64/128 GB, 6/8 GB RAM",Yes,Type-C,3800
22,Samsung Galaxy A,385,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,168,Single,AMOLED,6.0,1080,2220,Android 8.0,Exynos,Octa,Mali-G71,512 GB,"128 GB, 4/6 GB RAM or 64 GB, 4 GB RAM",Yes,microUSB 2.0,3300
23,Samsung Galaxy Note9,2310,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,201,Single,AMOLED,6.4,1440,2960,Android 8.1,Exynos,Octa,Mali-G72,512 GB,"512 GB, 8 GB RAM or 128 GB, 6 GB RAM",Yes,Type-C,4000
24,Samsung Galaxy Watch,385,Yes,49,13,13,63,Electronic SIM card (eSIM),AMOLED,1.3,360,360,Tizen,Exynos,Dual,-,No,"4 GB, 1.5 GB RAM (LTE model)4 GB, 768 MB RAM (BTT model)",Yes,No,472
25,Samsung Galaxy J,385,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,178,Single,LCD,6.0,720,1480,Android 8.1,Qualcomm,Quad,Adreno,512 GB,"64 GB, 4 GB RAM or 32 GB, 3 GB RAM",Yes,microUSB 2.0,3300
26,Samsung Galaxy J,385,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,177,Dual,LCD,6.0,720,1480,Android 8.1,Qualcomm,Quad,Adreno,512 GB,"16 GB, 1 GB RAM",Yes,microUSB 2.0,3300
27,Samsung Galaxy J,385,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,178,Dual,LCD,6.0,720,1480,Android 8.1,Qualcomm,Quad,Adreno,512 GB,"32 GB, 2/3 RAM or 16 GB, 2 GB RAM",Yes,microUSB 2.0,3300
28,Samsung Galaxy J,385,Yes,143.4,72.1,8.9,154,Dual,TFT,5.0,540,960,Android 8.1,Exynos,Quad,Mali-T720,256 GB,"8 GB, 1 GB RAM",Yes,microUSB 2.0,2600
29,Samsung Galaxy Tab S4 10.5,385,Yes,249.3,164.3,7.1,482,Single,AMOLED,10.5,1600,2560,Android 8.1,Qualcomm,Octa,Adreno,512 GB,"64/256 GB, 4 GB RAM or 6 GB RAM (Korea only)",Yes,Type-C,7300
30,Samsung Galaxy Tab A 10.5,385,Yes,260,161.1,8,529,Single,LCD,10.5,1200,1920,Android 8.1,Qualcomm,Octa,Adreno,512 GB,"32 GB, 3 GB RAM",Yes,Type-C,7300
31,Samsung Galaxy On6,385,Yes,149.3,70.2,8.2,154,Dual,AMOLED,5.6,720,1480,Android 8.0,Exynos,Octa,Mali-T830,256 GB,"64 GB, 4 GB RAM or 32 GB, 3 GB RAM",Yes,microUSB 2.0,3000
32,Samsung Galaxy J,385,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,181,Single,TFT,5.5,720,1280,Android 8.0,-,Octa,-,400 GB,"16/32 GB, 2 GB RAM",Yes,microUSB 2.0,3300
33,Samsung Galaxy J,385,Yes,142.7,70.1,8.9,152,Single,LCD,5.0,720,1280,Android 8.0,Exynos,Quad,Mali-T720,256 GB,"16 GB, 2 GB RAM",Yes,microUSB 2.0,2600
34,Samsung Galaxy A,770,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,191,Dual,AMOLED,6.3,1080,2220,Android 8,Qualcomm,Octa,Adreno,512 GB,"64 GB, 4/6 GB RAM",Yes,Type-C,3700
35,Samsung Galaxy S,770,Yes,148.9,68.1,8,150,Dual,AMOLED,5.8,1080,2220,Android 8.0,Qualcomm,Octa,Adreno,512 GB,"64 GB, 4 GB RAM",Yes,Type-C,3000
36,Samsung Galaxy J,385,Yes,159.2,75.7,8.2,177,Dual,AMOLED,6.0,720,1480,Android 8.0,Qualcomm,Octa,Adreno,256 GB,"64 GB, 4 GB RAM or 32 GB, 3 GB RAM",Yes,microUSB 2.0,3500
37,Samsung Galaxy J,385,Yes,149.3,70.2,8.2,154,Dual,AMOLED,5.6,720,1480,Android 8.0,Exynos,Octa,Mali-T830,256 GB,"64 GB, 4 GB RAM or 32 GB, 3 GB RAM",Yes,microUSB 2.0,3000
38,Samsung Galaxy J,385,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,175,Dual,AMOLED,5.5,720,1280,Android 8.0,Exynos,Quad,Mali-T720,256 GB,"16 GB, 2 GB RAM",Yes,microUSB 2.0,3000
39,Samsung Galaxy A,385,Yes,160.2,75.7,7.9,186,Single,AMOLED,6.0,1080,2220,Android 8.0,Qualcomm,Octa,Adreno,256 GB,"64 GB, 4 GB RAM or 32 GB, 3/4 GB RAM",Yes,microUSB 2.0,3500
40,Samsung Galaxy A,385,Yes,149.9,70.8,7.7,159,Single,AMOLED,5.6,720,1480,Android 8.0,Exynos,Octa,Mali-T830,256 GB,"64 GB, 4 GB RAM or 32 GB, 3 GB RAM",Yes,microUSB 2.0,3000
41,Samsung Galaxy J,385,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,174,Single,AMOLED,5.5,720,1280,Android 8.0,Exynos,Octa,Mali-G71,256 GB,"32 GB, 4 GB RAM",Yes,Yes,3000
42,Samsung Galaxy J,385,Yes,151.7,75,8,170,Single,TFT,5.5,1080,1920,Android 7.0,Exynos,Octa,Mali-T830,256 GB,"32 GB, 3 GB RAM",Yes,microUSB 2.0,3300
43,Samsung Galaxy S,2310,Yes,158.1,73.8,8.5,189,Single,AMOLED,6.2,1440,2960,Android 8.0,Exynos,Octa,Mali-G72,512 GB,"64/128/256 GB, 6 GB RAM - China128 GB, 6 GB RAM - LATAM",Yes,Type-C,3500
44,Samsung Galaxy S,2310,Yes,147.7,68.7,8.5,163,Single,AMOLED,5.8,1440,2960,Android 8.0,Exynos,Octa,Mali-G72,512 GB,"64/128/256 GB, 4 GB RAM",Yes,Type-C,3000
45,Samsung Galaxy J,385,Yes,143.8,72.3,8.4,153,Dual,AMOLED,5.0,540,960,Android 7.1,Qualcomm,Quad,Adreno,256 GB,"16 GB, 1.5 GB RAM or 2 GB RAM (India only)",Yes,microUSB 2.0,2600
46,Samsung Galaxy A,385,Yes,159.9,75.7,8.3,191,Single,AMOLED,6.0,1080,2220,Android 7.1.1,Exynos,Octa,Mali-G71,256 GB,"64 GB, 6 GB RAM or 32 GB, 4 GB RAM",Yes,Type-C,3500
47,Samsung Galaxy A,385,Yes,149.2,70.6,8.4,172,Single,AMOLED,5.6,1080,2220,Android 7.1.1,Exynos,Octa,Mali-G71,256 GB,"32/64 GB, 4 GB RAM",Yes,Type-C,3000
48,Samsung Galaxy J,385,Yes,136.5,69,8.4,130,Dual,AMOLED,4.7,540,960,Android 7.0,Exynos,Quad,Mali-T720,256 GB,"8 GB, 1 GB RAM",Yes,microUSB 2.0,2000
49,Samsung Galaxy Tab Active 2,385,Yes,127.6,214.7,9.9,415,Single,LCD,8.0,800,1280,Android 7.1.1,Exynos,Octa,-,256 GB,"16 GB, 3 GB RAM",Yes,Type-C,4450
50,Samsung Galaxy Tab A 8.0 (2017),385,Yes,212.1,124.1,8.9,364,Single,LCD,8.0,800,1280,Android 7.1,Qualcomm,Quad,Adreno,256 GB,"16 GB, 2 GB RAM",Yes,microUSB 2.0,5000
51,Samsung Galaxy C,385,Yes,152.4,74.7,7.9,180,Dual,AMOLED,5.5,1080,1920,Android 7.1,-,Octa,-,256 GB,"32 GB, 4 GB RAM",Yes,microUSB 2.0,3000
52,Samsung Gear Sport,0,No,44.6,42.9,11.6,67,No,AMOLED,1.2,360,360,Tizen,Dual,Dual,Mali-400MP2,No,"4 GB, 768 MB RAM",Yes,No,300
53,Samsung Galaxy Note8,385,Yes,162.5,74.8,8.6,195,Single,AMOLED,6.3,1440,2960,Android 7.1.1,Exynos,Octa,Mali-G71,512 GB,"64/128/256 GB, 6 GB RAM",Yes,Type-C,3300
54,Samsung Galaxy S,385,Yes,151.9,74.9,9.9,208.1,Single,AMOLED,5.8,1440,2960,Android 7.0,Qualcomm,Octa,Adreno,512 GB,"64 GB, 4 GB RAM",Yes,Type-C,4000
55,Samsung Galaxy J,2310,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,167.3,Single,LCD,5.5,720,1280,Android 7.0.1,Qualcomm,Octa,Adreno,256 GB,"16 GB, 2 GB RAM",Yes,microUSB 2.0,3300
56,Samsung Galaxy Note FE,385,Yes,153.5,73.9,7.9,167,Single,AMOLED,5.7,1440,2560,Android 7.1.1,Exynos,Octa,Mali-T880,256 GB,"64 GB, 4 GB RAM",Yes,Type-C,3200
57,Samsung Galaxy J,385,Yes,156.7,78.8,8.1,179,Dual,"PLS capacitive touchscreen, 16M colors",5.7,1080,1920,Android 7.0,Mediatek,Octa,Mali-T880MP2,256 GB,"32 GB, 4 GB RAM",Yes,microUSB 2.0,3300
58,Samsung Galaxy J,385,Yes,152.5,74.8,8,181,Single,AMOLED,5.5,1080,1920,Android 7.0,Exynos,Octa,Mali-T830,256 GB,"32/64 GB, 3 GB RAM",Yes,microUSB 2.0,3600
59,Samsung Galaxy J,385,Yes,152.5,74.8,8,181,Dual,AMOLED,5.5,1080,1920,Android 7.0,Exynos,Octa,Mali-T830,256 GB,"16 GB, 3 GB RAM",Yes,microUSB 2.0,3600
60,Samsung Galaxy J,385,Yes,146.2,71.3,8,160,Single,AMOLED,5.2,720,1280,Android 7.0,Exynos,Octa,Mali-T830,256 GB,"16 GB, 2 GB RAM - Global32 GB, 2 GB RAM - LATAM, SEA32 GB, 3 GB RAM - Pro edition",Yes,microUSB 2.0,3000
61,Samsung Galaxy J,385,Yes,143.2,70.3,8.2,142,Single,"PLS capacitive touchscreen, 16M colors",5.0,720,1280,Android 7.0,Exynos,Quad,Mali-T720,256 GB,"16 GB, 2 GB RAM",Yes,microUSB 2.0,2400
62,Samsung Galaxy Folder2,385,Yes,122,60.2,16.1,165,Dual,TFT,3.8,480,800,Android 6.0,Qualcomm,Quad,Adreno,256 GB,"16 GB, 2 GB RAM",Yes,microUSB 2.0,1950
63,Samsung Z4,385,Yes,132.9,69.2,10.3,143,Single,"Capacitive touchscreen, 16M colors",4.5,480,800,microUSB 3.0,-,Quad,-,128 GB,"8 GB, 1 GB RAM",Yes,microUSB 2.0,2050
64,Samsung Galaxy S,385,Yes,148.9,68.1,8,155,Single,AMOLED,5.8,1440,2960,Android 7.0,Exynos,Octa,Mali-G71,512 GB,"64 GB, 4 GB RAM",Yes,Type-C,3000
65,Samsung Galaxy S,385,Yes,159.5,73.4,8.1,173,Single,AMOLED,6.2,1440,2960,Android 7.0,Exynos,Octa,Mali-G71,512 GB,"128 GB, 6 GB RAM or 64 GB, 4 GB RAM",Yes,Type-C,3500
66,Samsung Gear S3 classic LTE,385,Yes,49,46,12.9,microUSB 2.0,Electronic SIM card (eSIM),AMOLED,1.3,360,360,Tizen,Exynos,Dual,-,No,"4 GB, 768 MB RAM",Yes,No,380
67,Samsung Galaxy C,385,Yes,145.7,71.4,7,145,Dual,AMOLED,5.2,1080,1920,Android 7.0,Qualcomm,Octa,Adreno,256 GB,"64 GB, 4 GB RAM",Yes,Type-C,2600
68,Samsung Galaxy Xcover 4,385,Yes,146.2,73.3,9.7,172,Single,LCD,5.0,720,1280,Android 7.0,Exynos,Quad,Mali-T720,256 GB,"16 GB, 2 GB RAM",Yes,microUSB 2.0,2800
69,Samsung Galaxy Tab S3 9.7,385,Yes,237.3,169,6,429,Single,AMOLED,9.7,1536,2048,Android 7.0,Qualcomm,Quad,Adreno,512 GB,"32 GB, 4 GB RAM",Yes,Type-C,6000
70,Samsung Galaxy J,385,Yes,121.6,63.1,10.8,126,Single,TFT,4.0,480,800,Android 5.1,Spreadtrum,Quad,Mali-400MP2,256 GB,"8 GB, 1 GB RAM",Yes,microUSB 2.0,1500
71,Samsung Galaxy J,770,Yes,140.9,70.1,8.7,147,Single,TFT,5.0,720,1280,Android 6.0.1,Qualcomm,Octa,Adreno,256 GB,"16 GB, 1.5 GB RAM",Yes,microUSB 2.0,2600
72,Samsung Galaxy C,385,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,172,Dual,AMOLED,5.7,1080,1920,Android 6.0.1,Qualcomm,Octa,Adreno,256 GB,"64 GB, 4 GB RAM",Yes,Type-C,3300
73,Samsung Galaxy A,385,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,186,Single,AMOLED,5.7,1080,1920,Android 6.0.1,Exynos,Octa,Mali-T830MP3,256 GB,"32 GB, 3 GB RAM",Yes,Type-C,3600
74,Samsung Galaxy A,385,Yes,146.1,71.4,7.9,157,Single,AMOLED,5.2,1080,1920,Android 6.0.1,Exynos,Octa,Mali-T830MP3,256 GB,"32/64 GB, 3 GB RAM",Yes,Type-C,3000
75,Samsung Galaxy A,385,Yes,135.4,66.2,7.9,138,Single,AMOLED,4.7,720,1280,Android 6.0.1,Exynos,Octa,Mali-T830,256 GB,"16 GB, 2 GB RAM",Yes,Type-C,2350
76,Samsung Galaxy Grand Prime Plus,385,Yes,144.8,72.1,8.9,160,Dual,TFT,5.0,540,960,Android 6.0,Mediatek,Quad,Mali-T720MP2,256 GB,"8 GB, 1.5 GB RAM",Yes,microUSB 2.0,2600
77,Samsung Galaxy J,385,Yes,144.8,72.1,8.9,160,Single,TFT,5.0,540,960,Android 6.0,Mediatek,Quad,Mali-T720MP2,256 GB,"8 GB, 1.5 GB RAM",Yes,microUSB 2.0,2600
78,Samsung Galaxy C,385,Yes,162.9,80.7,6.9,189,Dual,AMOLED,6.0,1080,1920,Android 6.0.1,Qualcomm,Octa,Adreno,256 GB,"64 GB, 6 GB RAM",Yes,Type-C,4000
79,Samsung Galaxy C,385,Yes,-,-,-,-,Dual,AMOLED,6.0,1080,1920,Android 7.1.1,Qualcomm,Octa,Adreno,256 GB,"64/128 GB, 6 GB RAM",Yes,Type-C,4000
80,Samsung Galaxy A,385,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,182,Single,AMOLED,5.7,1080,1920,Android 6.0.1,Exynos,Octa,Mali-T760MP8,256 GB,"32 GB, 3 GB RAM",Yes,microUSB 2.0,3300
81,Samsung Galaxy On8,385,Yes,151.7,76,7.8,169,Dual,AMOLED,5.5,1080,1920,Android 6.0.1,Exynos,Octa,Mali-T720MP2,256 GB,"16 GB, 3 GB RAM",Yes,microUSB 2.0,3300
82,Samsung Galaxy On7 (2016),385,Yes,151.7,75,8,167,Dual,"Capacitive touchscreen, 16M colors",5.5,1080,1920,Android 6.0.1,Qualcomm,Octa,Adreno,256 GB,"32 GB, 3 GB RAM",Yes,microUSB 2.0,3300
83,Samsung Gear S3 classic,0,No,49,46,12.9,microUSB 2.0,No,AMOLED,1.3,360,360,Tizen,Exynos,Dual,-,No,"4 GB, 768 MB RAM",Yes,No,380
84,Samsung Gear S3 frontier,0,No,49,46,12.9,63,No,AMOLED,1.3,360,360,Tizen,Exynos,Dual,-,No,"4 GB, 768 MB RAM",Yes,No,380
85,Samsung Gear S3 frontier LTE,385,Yes,49,46,12.9,63,Electronic SIM card (eSIM),AMOLED,1.3,360,360,Tizen,Exynos,Dual,-,No,"4 GB, 768 MB RAM",Yes,No,380
86,Samsung Galaxy J,385,Yes,142.8,69.5,8.1,143,Dual,TFT,5.0,720,1280,Android 6.0.1,Exynos,Quad,Mali-T720,256 GB,"16/32 GB, 2 GB RAM",Yes,microUSB 2.0,2400
87,Samsung Galaxy J,385,Yes,151.7,75,8,167,Single,TFT,5.5,1080,1920,Android 6.0.1,Exynos,Octa,Mali-T830,256 GB,"16/32 GB, 3 GB RAM",Yes,microUSB 2.0,3300
88,Samsung Z2,385,Yes,121.5,63,10.8,127,Dual,TFT,4.0,480,800,Tizen,Spreadtrum,Quad,Mali-400MP2,200 GB,"8 GB, 1 GB RAM",Yes,microUSB 2.0,1500
89,Samsung Galaxy Note7 (USA),2310,Yes,153.5,73.9,7.9,169,Single,AMOLED,5.7,1440,2560,Android 6.0.1,Qualcomm,Quad,Adreno,512 GB,"64 GB, 4 GB RAM",Yes,Type-C,3500
90,Samsung Galaxy Note7,385,Yes,153.5,73.9,7.9,169,Single,AMOLED,5.7,1440,2560,Android 6.0.1,Exynos,Octa,Mali-T880,512 GB,"64 GB, 4 GB RAM",Yes,Type-C,3500
91,Samsung Galaxy On7 Pro,385,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,172,Dual,TFT,5.5,720,1280,Android 6.0.1,Qualcomm,Quad,Adreno,256 GB,"16 GB, 2 GB RAM",Yes,microUSB 2.0,3000
92,Samsung Galaxy On5 Pro,385,Yes,142.3,72.1,8.5,149,Dual,TFT,5.0,720,1280,Android 6.0,Exynos,Quad,Mali-T720,256 GB,"16 GB, 2 GB RAM",Yes,microUSB 2.0,2600
